dep_iata,airport_name,arr_iata
AIT,Aitutaki Airport,AIT
AIU,Enua Airport,AIU
AIV,George Downer Airport,AIV
AIW,Ai-Ais Airport,AIW
AIY,Atlantic City Municipal Bader Field,AIY
AIZ,Lee C Fine Memorial Airport,AIZ
AJA,Ajaccio-NapolÃ©on Bonaparte Airport,AJA
AJF,Al-Jawf Domestic Airport,AJF
AJI,AÄrÄ± Airport,AJI
AJJ,Akjoujt Airport,AJJ
AJK,Arak Airport,AJK
AJL,Lengpui Airport,AJL
AJN,Ouani Airport,AJN
AJR,Arvidsjaur Airport,AJR
AJS,Abreojos Airport,AJS
AJU,Santa Maria Airport,AJU
AJY,Mano Dayak International Airport,AJY
AKA,Ankang Wulipu Airport,AKA
AKB,Atka Airport,AKB
AKC,Akron Fulton International Airport,AKC
AKD,Akola Airport,AKD
AKE,Akieni Airport,AKE
AKF,Kufra Airport,AKF
AKG,Anguganak Airport,AKG
AKH,Prince Sultan Air Base,AKH
AKI,Akiak Airport,AKI
AKJ,Asahikawa Airport,AKJ
AKK,Akhiok Airport,AKK
AKL,Auckland International Airport,AKL
AKM,Zakuoma Airport,AKM
AKN,King Salmon Airport,AKN
AKO,Colorado Plains Regional Airport,AKO
AKP,Anaktuvuk Pass Airport,AKP
AKQ,Gunung Batin Airport,AKQ
AKR,Akure Airport,AKR
AKS,Gwaunaru'u Airport,AKS
AKT,RAF Akrotiri,AKT
AKU,Aksu Airport,AKU
AKV,Akulivik Airport,AKV
AKW,Aghajari Airport,AKW
AKX,Aktobe Airport,AKX
AKY,Sittwe Airport,AKY
ALA,Almaty Airport,ALA
ALB,Albany International Airport,ALB
ALC,Alicante International Airport,ALC
ALD,Alerta Airport,ALD
ALE,Alpine Casparis Municipal Airport,ALE
ALF,Alta Airport,ALF
ALG,Houari Boumediene Airport,ALG
ALH,Albany Airport,ALH
ALI,Alice International Airport,ALI
ALJ,Alexander Bay Airport,ALJ
ALL,Villanova D'Albenga International Airport,ALL
ALM,Alamogordo White Sands Regional Airport,ALM
ALN,St Louis Regional Airport,ALN
ALO,Waterloo Regional Airport,ALO
ALP,Aleppo International Airport,ALP
ALQ,Alegrete Novo Airport,ALQ
ALR,Alexandra Airport,ALR
ALS,San Luis Valley Regional Bergman Field,ALS
ALT,Alenquer Airport,ALT
ALU,Alula Airport,ALU
ALV,Andorra la Vella Heliport,ALV
ALW,Walla Walla Regional Airport,ALW
ALX,Thomas C Russell Field,ALX
ALY,El Nouzha Airport,ALY
ALZ,Alitak Seaplane Base,ALZ
AMA,Rick Husband Amarillo International Airport,AMA
AMB,Ambilobe Airport,AMB
AMC,Am Timan Airport,AMC
AMD,Sardar Vallabhbhai Patel International Airport,AMD
AME,Alto Molocue Airport,AME
AMF,Ama Airport,AMF
AMH,Arba Minch Airport,AMH
AMI,Selaparang Airport,AMI
